,tweet
23,"Pemilih Ganjar Pranowo : Tidak Tahu: 30,2% ; Prabowo Subianto: 21,1% ; Ridwan Kamil: 14,8% ; Anies : 7,6% ; Tokoh lainnya: 7,2% ; Erick Thohir: 5,6% ; Tri Rismaharini: 4,9% ; Puan Maharani: 3% ; Sandiaga S. Uno: 2,3% ;  Andika Perkasa: 2% ; Agus Harimurti Y. : 1,3%. #BersamaJuara"
24,"Sandiaga Salahuddin Uno: 8,2% ; Tokoh lainnya: 5,1% ; Andika Perkasa: 2,5% ; Puan Maharani: 2,5% ; Erick Thohir: 0,6% ; Tri Rismaharini: 0%. #BersamaJuara Ridwan Kamil"
25,"Litbang Kompas juga merilis survei skema capres alternatif berdasarkan pemilih Anies, Ganjar dan Prabowo (Januari 2023). Pemilih Anies Baswedan : Tidak Tahu: 24,7% ; Prabowo Subianto: 17,7% ; Ridwan Kamil: 16,5% ; Ganjar Pranowo: 13,3% ; Agus Harimurti Y. : 8,9% #BersamaJuara"
26,"Puan Maharani: 1,5% ; Airlangga Hartarto: 0,8% ; Mahfud Md: 0,7% ; Hary Tanoesoedibyo: 0,5% ; Khofifah Indar Parawansa: 0,5% ; Surya Paloh: 0,5% ; Basuki Tjahaja Purnama: 0,5% ; Lainnya: 2,2% ; Tidak Tahu/tidak jawab: 45,9%. #BersamaJuara Ridwan Kamil"
27,"Berikut elektabilitas capres alternatif selain Anies, Ganjar dan Prabowo, periode survei Litbang Kompas Januari 2023: Ridwan Kamil: 22,7% ; Sandiaga Salahuddin Uno: 7,3% ; Agus Harimurti Y. : 5,8 % ; Erick Thohir: 4,5% ; Tri Rismaharini: 4,3% ; Andika Perkasa: 2,3%. #BersamaJuara"
28,"Selain itu, melejitnya sosok Ridwan Kamil sebagai capres alternatif juga sesuai dengan keberhasilannya mempertahankan elektabilitas pada posisi keempat yang terus membayangi tiga capres potensial teratas. #BersamaJuara Ridwan Kamil"
29,"Ridwan Kamil disebut mendapatkan peralihan dukungan yang cukup besar dari pendukung Anies, Ganjar, maupun Prabowo dalam skema keterpilihannya sebagai figur alternatif. #BersamaJuara Ridwan Kamil"
30,"Ridwan Kamil berada di posisi puncak sosok capres alternatif, meraih tingkat keterpilihan 22,7 persen dan terpaut jauh dibandingkan dengan tokoh capres alternatif lainnya. Posisi kedua ditempati Sandiaga dengan elektabilitas 7,3% dan Agus Harimurti Yudhoyono 5,8%. #BersamaJuara"
31,"Beberapa nama yang muncul di antaranya Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Salahuddin Uno, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono, Menteri BUMN Erick Thohir hingga Menteri Sosial Tri Rismaharini. #BersamaJuara Ridwan Kamil"
32,"Dalam survei Litbang Kompas pada periode Januari 2023, tiga tokoh menguasai papan elektabilitas calon presiden yaitu Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan. Di sisi lain, muncul sederet figur lain yang dinilai layak didukung menjadi capres. #BersamaJuara Ridwan Kamil"
33,"Tingkat kepercayaan survei menggunakan metode ini mencapai 95 persen dengan margin of error penelitian +- 2,83 persen dalam kondisi penarikan sampel acak sederhana. Meskipun demikian, kesalahan di luar pemilihan sampel dimungkinkan terjadi. #BersamaJuara Ridwan Kamil"
34,"Litbang Kompas merilis hasil survei tentang calon presiden (capres) alternatif selain Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto. Gubernur Jawa Barat Ridwan Kamil unggul dominan di survei figur capres alternatif. #BersamaJuara"
35,Survei Litbang Kompas: Ridwan Kamil Dominan di Figur Capres Alternatif  https://t.co/NyUSR3HDLw #BersamaJuara
36,"Pemilih Prabowo S. : Tidak tahu: 21,6% ; Ganjar Pranowo: 19,7% ; Anies B. : 19,3% ; Ridwan Kamil: 14,2% ; AHY : 8,4% ; Sandiaga S. Uno: 8,4% ; Tokoh lainnya: 4,6% ; Andika Perkasa: 2,8% ; Erick Thohir: 2,3% ; Tri Rismaharini: 1,8% ; Puan Maharani: 0,9%. #BersamaJuara"
37,"Pemilih Ganjar Pranowo : Tidak Tahu: 30,2% ; Prabowo Subianto: 21,1% ; Ridwan Kamil: 14,8% ; Anies : 7,6% ; Tokoh lainnya: 7,2% ; Erick Thohir: 5,6% ; Tri Rismaharini: 4,9% ; Puan Maharani: 3% ; Sandiaga S. Uno: 2,3% ;  Andika Perkasa: 2% ; Agus Harimurti Y. : 1,3%. #BersamaJuara"
38,"Sandiaga Salahuddin Uno: 8,2% ; Tokoh lainnya: 5,1% ; Andika Perkasa: 2,5% ; Puan Maharani: 2,5% ; Erick Thohir: 0,6% ; Tri Rismaharini: 0%. #BersamaJuara Ridwan Kamil"
39,"Litbang Kompas juga merilis survei skema capres alternatif berdasarkan pemilih Anies, Ganjar dan Prabowo (Januari 2023). Pemilih Anies Baswedan : Tidak Tahu: 24,7% ; Prabowo Subianto: 17,7% ; Ridwan Kamil: 16,5% ; Ganjar Pranowo: 13,3% ; Agus Harimurti Y. : 8,9% #BersamaJuara"
40,"Puan Maharani: 1,5% ; Airlangga Hartarto: 0,8% ; Mahfud Md: 0,7% ; Hary Tanoesoedibyo: 0,5% ; Khofifah Indar Parawansa: 0,5% ; Surya Paloh: 0,5% ; Basuki Tjahaja Purnama: 0,5% ; Lainnya: 2,2% ; Tidak Tahu/tidak jawab: 45,9%. #BersamaJuara Ridwan Kamil"
41,"Berikut elektabilitas capres alternatif selain Anies, Ganjar dan Prabowo, periode survei Litbang Kompas Januari 2023: Ridwan Kamil: 22,7% ; Sandiaga Salahuddin Uno: 7,3% ; Agus Harimurti Y. : 5,8 % ; Erick Thohir: 4,5% ; Tri Rismaharini: 4,3% ; Andika Perkasa: 2,3%. #BersamaJuara"
42,"Selain itu, melejitnya sosok Ridwan Kamil sebagai capres alternatif juga sesuai dengan keberhasilannya mempertahankan elektabilitas pada posisi keempat yang terus membayangi tiga capres potensial teratas. #BersamaJuara Ridwan Kamil"
43,"Ridwan Kamil disebut mendapatkan peralihan dukungan yang cukup besar dari pendukung Anies, Ganjar, maupun Prabowo dalam skema keterpilihannya sebagai figur alternatif. #BersamaJuara Ridwan Kamil"
44,"Ridwan Kamil berada di posisi puncak sosok capres alternatif, meraih tingkat keterpilihan 22,7 persen dan terpaut jauh dibandingkan dengan tokoh capres alternatif lainnya. Posisi kedua ditempati Sandiaga dengan elektabilitas 7,3% dan Agus Harimurti Yudhoyono 5,8%. #BersamaJuara"
45,"Beberapa nama yang muncul di antaranya Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Salahuddin Uno, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono, Menteri BUMN Erick Thohir hingga Menteri Sosial Tri Rismaharini. #BersamaJuara Ridwan Kamil"
46,"Dalam survei Litbang Kompas pada periode Januari 2023, tiga tokoh menguasai papan elektabilitas calon presiden yaitu Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan. Di sisi lain, muncul sederet figur lain yang dinilai layak didukung menjadi capres. #BersamaJuara Ridwan Kamil"
47,"Tingkat kepercayaan survei menggunakan metode ini mencapai 95 persen dengan margin of error penelitian +- 2,83 persen dalam kondisi penarikan sampel acak sederhana. Meskipun demikian, kesalahan di luar pemilihan sampel dimungkinkan terjadi. #BersamaJuara Ridwan Kamil"
48,"Litbang Kompas merilis hasil survei tentang calon presiden (capres) alternatif selain Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto. Gubernur Jawa Barat Ridwan Kamil unggul dominan di survei figur capres alternatif. #BersamaJuara"
49,Survei Litbang Kompas: Ridwan Kamil Dominan di Figur Capres Alternatif  https://t.co/NbGSO6RqFK #BersamaJuara
50,"Pemilih Prabowo S. : Tidak tahu: 21,6% ; Ganjar Pranowo: 19,7% ; Anies B. : 19,3% ; Ridwan Kamil: 14,2% ; AHY : 8,4% ; Sandiaga S. Uno: 8,4% ; Tokoh lainnya: 4,6% ; Andika Perkasa: 2,8% ; Erick Thohir: 2,3% ; Tri Rismaharini: 1,8% ; Puan Maharani: 0,9%. #BersamaJuara"
51,"Pemilih Ganjar Pranowo : Tidak Tahu: 30,2% ; Prabowo Subianto: 21,1% ; Ridwan Kamil: 14,8% ; Anies : 7,6% ; Tokoh lainnya: 7,2% ; Erick Thohir: 5,6% ; Tri Rismaharini: 4,9% ; Puan Maharani: 3% ; Sandiaga S. Uno: 2,3% ;  Andika Perkasa: 2% ; Agus Harimurti Y. : 1,3%. #BersamaJuara"
52,"Sandiaga Salahuddin Uno: 8,2% ; Tokoh lainnya: 5,1% ; Andika Perkasa: 2,5% ; Puan Maharani: 2,5% ; Erick Thohir: 0,6% ; Tri Rismaharini: 0%. #BersamaJuara Ridwan Kamil"
53,"Litbang Kompas juga merilis survei skema capres alternatif berdasarkan pemilih Anies, Ganjar dan Prabowo (Januari 2023). Pemilih Anies Baswedan : Tidak Tahu: 24,7% ; Prabowo Subianto: 17,7% ; Ridwan Kamil: 16,5% ; Ganjar Pranowo: 13,3% ; Agus Harimurti Y. : 8,9% #BersamaJuara"
54,"Puan Maharani: 1,5% ; Airlangga Hartarto: 0,8% ; Mahfud Md: 0,7% ; Hary Tanoesoedibyo: 0,5% ; Khofifah Indar Parawansa: 0,5% ; Surya Paloh: 0,5% ; Basuki Tjahaja Purnama: 0,5% ; Lainnya: 2,2% ; Tidak Tahu/tidak jawab: 45,9%. #BersamaJuara Ridwan Kamil"
55,"Berikut elektabilitas capres alternatif selain Anies, Ganjar dan Prabowo, periode survei Litbang Kompas Januari 2023: Ridwan Kamil: 22,7% ; Sandiaga Salahuddin Uno: 7,3% ; Agus Harimurti Y. : 5,8 % ; Erick Thohir: 4,5% ; Tri Rismaharini: 4,3% ; Andika Perkasa: 2,3%. #BersamaJuara"
56,"Selain itu, melejitnya sosok Ridwan Kamil sebagai capres alternatif juga sesuai dengan keberhasilannya mempertahankan elektabilitas pada posisi keempat yang terus membayangi tiga capres potensial teratas. #BersamaJuara Ridwan Kamil"
57,"Ridwan Kamil disebut mendapatkan peralihan dukungan yang cukup besar dari pendukung Anies, Ganjar, maupun Prabowo dalam skema keterpilihannya sebagai figur alternatif. #BersamaJuara Ridwan Kamil"
58,"Ridwan Kamil berada di posisi puncak sosok capres alternatif, meraih tingkat keterpilihan 22,7 persen dan terpaut jauh dibandingkan dengan tokoh capres alternatif lainnya. Posisi kedua ditempati Sandiaga dengan elektabilitas 7,3% dan Agus Harimurti Yudhoyono 5,8%. #BersamaJuara"
59,"Beberapa nama yang muncul di antaranya Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Salahuddin Uno, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono, Menteri BUMN Erick Thohir hingga Menteri Sosial Tri Rismaharini. #BersamaJuara Ridwan Kamil"
60,"Dalam survei Litbang Kompas pada periode Januari 2023, tiga tokoh menguasai papan elektabilitas calon presiden yaitu Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan. Di sisi lain, muncul sederet figur lain yang dinilai layak didukung menjadi capres. #BersamaJuara Ridwan Kamil"
61,"Tingkat kepercayaan survei menggunakan metode ini mencapai 95 persen dengan margin of error penelitian +- 2,83 persen dalam kondisi penarikan sampel acak sederhana. Meskipun demikian, kesalahan di luar pemilihan sampel dimungkinkan terjadi. #BersamaJuara Ridwan Kamil"
62,"Litbang Kompas merilis hasil survei tentang calon presiden (capres) alternatif selain Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto. Gubernur Jawa Barat Ridwan Kamil unggul dominan di survei figur capres alternatif. #BersamaJuara"
63,Survei Litbang Kompas: Ridwan Kamil Dominan di Figur Capres Alternatif  https://t.co/Ri86vLFYfH #BersamaJuara
64,"Pemilih Prabowo S. : Tidak tahu: 21,6% ; Ganjar Pranowo: 19,7% ; Anies B. : 19,3% ; Ridwan Kamil: 14,2% ; AHY : 8,4% ; Sandiaga S. Uno: 8,4% ; Tokoh lainnya: 4,6% ; Andika Perkasa: 2,8% ; Erick Thohir: 2,3% ; Tri Rismaharini: 1,8% ; Puan Maharani: 0,9%. #BersamaJuara"
65,"Pemilih Ganjar Pranowo : Tidak Tahu: 30,2% ; Prabowo Subianto: 21,1% ; Ridwan Kamil: 14,8% ; Anies : 7,6% ; Tokoh lainnya: 7,2% ; Erick Thohir: 5,6% ; Tri Rismaharini: 4,9% ; Puan Maharani: 3% ; Sandiaga S. Uno: 2,3% ;  Andika Perkasa: 2% ; Agus Harimurti Y. : 1,3%. #BersamaJuara"
66,"Sandiaga Salahuddin Uno: 8,2% ; Tokoh lainnya: 5,1% ; Andika Perkasa: 2,5% ; Puan Maharani: 2,5% ; Erick Thohir: 0,6% ; Tri Rismaharini: 0%. #BersamaJuara Ridwan Kamil"
